belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,release_year,return,day_of_week
['The Blob Collection'],0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]",40983,en,"A technician brings a frozen specimen of the original Blob back from the North Pole. When his wife accidentally defrosts the thing, it terrorizes the populace, including the local hippies, kittens, and bowlers.",0.978293,['Jack H. Harris Enterprises'],['United States of America'],1972-06-21,0.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The movie that J.R. shot! (2000 US DVD release),Beware! The Blob,4.9,1972,0.0,miércoles
,800000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",24065,en,"California teen Anita Minteer struggles in the face of an absentee mother, her mom's abusive boyfriend, Rooney, and a lack of respect from her classmates. This all changes when a pen-pal school project connects her with convict Howard. Anita secures Howard's parole and violently squares off against Rooney after he rapes her. Soon enough, the gun-crazy teen is on the run with Howard, with his parole officer in pursuit.",4.797893,['Zeta Entertainment'],['United States of America'],1992-09-11,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Love made them crazy. Guns made them outlaws.,Guncrazy,5.0,1992,0.0,viernes
,70000000.0,"[{'id': 35, 'name': 'Comedy'}]",2800,en,"Sarah Huttinger's return home with her fiance convinces her that the sedate, proper, country-club lifestyle of her family isn't for her – and that maybe the Huttinger family isn't even hers – as she uncovers secrets that suggest the Huttingers are neither sedate nor proper.",6.158212,"['Village Roadshow Pictures', 'Section Eight', 'Spring Creek Productions', 'Warner Bros.']",['United States of America'],2005-12-23,88933562.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Based on a true rumor.,Rumor Has It...,5.3,2005,1.270479457142857,viernes
,0.0,"[{'id': 18, 'name': 'Drama'}]",41503,en,"American girls dream of finding romance in Rome, but there is none for secretaries, Anita tells her replacement at the USDA. But Maria soon meets Prince Dino de Cessi at a party at her boss's home who invites her to fly to Venice in his private plane. Frances, who has been in Rome for 15 years as the secretary of a successful American writer who talks a lot like George Bernard Shaw and is just as elusive as Professor Henry Higgins in ""My Fair Lady,"" tells her at first to say ""no"" and then decides that together they can handle the man nicknamed the predatory prince. Coins tossed in the Trevi Fountain can indeed work magic.",1.201898,['Twentieth Century Fox Film Corporation'],['United States of America'],1954-05-01,0.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,You've Never Lived Until You've Loved in Rome!,Three Coins in the Fountain,6.2,1954,0.0,sábado
,0.0,"[{'id': 35, 'name': 'Comedy'}]",53418,en,A drunken homeowner has a difficult time getting about in his home after arriving home late at night.,1.472505,['Lone Star Corporation'],['United States of America'],1916-08-07,0.0,22.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,An inspiring and fantastic one-man show!,One A.M.,6.3,1916,0.0,lunes
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",58547,en,A group of friends reunite ten years after their high-school graduation.,8.881954,"['Anchor Bay Films', 'Temple Hill Entertainment', 'Boss Media', '33andOut Productions', 'Iron Horse Entertainment (II)']",['United States of America'],2011-09-12,201146.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Who Got Fat? Who Didn't Change? Who Got Rich? Who Got Hot?,10 Years,5.7,2011,inf,lunes
,12000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",23759,en,"Britain, A.D. 117. Quintus Dias, the sole survivor of a Pictish raid on a Roman frontier fort, marches north with General Virilus' legendary Ninth Legion, under orders to wipe the Picts from the face of the Earth and destroy their leader, Gorlacon.",13.00941,"['Pathé Pictures International', 'UK Film Council', 'Celador Films', 'Canal+', 'Warner Bros.', 'CinéCinéma']","['France', 'United Kingdom']",2010-02-15,6814789.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'gd', 'name': ''}]",Released,History is written in blood,Centurion,6.0,2010,0.5678990833333334,lunes
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",12559,en,"Some say that to be the leader of a country is one of the loneliest jobs in the world. But being the child of a world leader can be doubly so. Constantly surrounded by security officers, restricted in movements and having almost every waking moment carefully monitored makes normalcy an impossibility. No one knows this better than young Luke Davenport, the son of U.S. President Davenport. He vents his loneliness, frustration and feelings of isolation from family and friends by being a brat to his private Secret Service agent. When the agent snaps from the strain in front of the First Lady, a new agent is assigned to Luke. He turns out to be the enormous Sam Simms, a bit of a rogue who managed to rise through the ranks by sheer determination rather than strict adherence to Secret-Service protocol. At first, Luke tries all his old tricks upon Sam. But instead of getting angry, Sam seems to actually understand.",6.510437,"['Walt Disney Pictures', 'Caravan Pictures']",['United States of America'],1996-08-30,0.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,He's young. He's wild. He's fun. And he's the one protecting the president's son.,First Kid,5.3,1996,0.0,viernes
,40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",49012,en,"A drunken playboy stands to lose a wealthy inheritance when he falls for a woman, his family doesn't like.",9.698075,['Warner Bros.'],['United States of America'],2011-04-08,45735397.0,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Meet the world's only loveable billionaire.,Arthur,5.3,2011,1.143384925,viernes
,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 99, 'name': 'Documentary'}]",390540,en,"Includes many disturbing highlights from the first three Faces of Death films, such as animal slaughtering, executions, and more. (IMDb)",0.044306,['Gorgon Video'],['United States of America'],1987-06-15,0.0,60.0,[],Released,When Make Believe is not Enough!,The Worst of Faces of Death,0.0,1987,0.0,lunes
,0.0,"[{'id': 27, 'name': 'Horror'}]",248561,en,"Jeremy, a local police officer leads a life of a confusing past, spending his current time searching for his kidnapper as a child. After other children begin missing, Jeremy pieces together the truth and realizes that his childhood kidnapper could be a creature of ancient yuletide lore, Krampus, who is the brother of St. Nick, and punisher of children who perform acts of unspeakable evil without repercussion. Can Jeremy kill Krampus and prevent more missing children?",0.960142,['Snowdog Studio'],['United States of America'],2013-08-17,0.0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Are you on the naughty list?,Krampus: The Christmas Devil,2.6,2013,0.0,sábado
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",15184,en,"Fleeing 1930s New York and leaving behind a chequered past, the giltzy divorcee Mrs Stella Erlynne travels to Italy's sun-dappled Amalfi coast. Mrs Erlynne's appearance causes a stir amongst the visiting aristocracy. Based on the Oscar Wilde play Lady Windemere's Fan",8.759151,['Beyond Films'],"['Italy', 'Luxembourg', 'Spain', 'United Kingdom', 'United States of America']",2004-01-01,0.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Seduction. Sex. Scandal.,A Good Woman,6.0,2004,0.0,jueves
,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",88067,en,"Mike Anderson, a tough American reporter on a dangerous foreign assignment, finds his own life in jeopardy when he uncovers a deadly labyrinth of political intrigue that threatens the lives of thousands. Dispatched to investigate a mysterious and fatal attack on an overseas US naval base, Anderson, a leading investigative journalist and ex-US marine, finds himself back on familiar ground. Instinct makes him question the official CIA explanation that cites an unknown terrorist group called Black October. Alone, and armed only with his combat training and determination to uncover the truth, he sets out to expose a complex and dangerous political web.",0.305743,"['Capitol Films', 'Electra Films', 'Cover-Up']","['Israel', 'United Kingdom']",1991-02-22,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,If the lies don't kill you – the truth will.,Cover-Up,4.3,1991,0.0,viernes
,25000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",278,en,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,"['Castle Rock Entertainment', 'Warner Bros.']",['United States of America'],1994-09-23,28341469.0,142.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,1994,1.13365876,viernes
,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",40639,en,"When transplanted Texan Bob Seton arrives in Lawrence, Kansas he finds much to like about the place, especially Mary McCloud, daughter of the local banker. Politics is in the air however. It's just prior to the civil war and there is already a sharp division in the Territory as to whether it will remain slave-free. When he gets the opportunity to run for marshal, Seton finds himself running against the respected local schoolteacher, William Cantrell. Not is what it seems however. While acting as the upstanding citizen in public, Cantrell is dangerously ambitious and is prepared to do anything to make his mark, and his fortune, on the Territory. When he loses the race for marshal, he forms a group of raiders who run guns into the territory and rob and terrorize settlers throughout the territory. Eventually donning Confederate uniforms, it is left to Seton and the good citizens of Lawrence to face Cantrell and his raiders in one final clash.",0.759791,['Republic Pictures (I)'],['United States of America'],1940-04-15,0.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A drama of undying love.,Dark Command,5.7,1940,0.0,lunes
,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",17660,en,"Michael Curtiz's epic Western stars Errol Flynn as Wade Hatton, a wagon master turned sheriff who tames a cow town at the end of a railroad line.",2.53549,['Warner Bros.'],['United States of America'],1939-03-31,0.0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's Errol Flynn In His Greatest Role . . . A picture for every red-blooded son and daughter of the stars and stripes !,Dodge City,6.7,1939,0.0,viernes
['Barbershop Collection'],20000000.0,"[{'id': 35, 'name': 'Comedy'}]",326423,en,"It’s been more than 10 years since our last appointment at Calvin’s Barbershop. Calvin and his longtime crew, including Eddie, are still there, but the shop has undergone some major changes. Most noticeably, our once male-dominated sanctuary is now co-ed. The ladies bring their own flavor, drama and gossip to the shop challenging the fellas at every turn. Despite the good times and camaraderie within the shop, the surrounding community has taken a turn for the worse, forcing Calvin and our crew to come together to not only save the shop, but their neighborhood.",8.468401,"['New Line Cinema', 'Cube Vision', 'MGM']",['United States of America'],2016-04-15,55030051.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Everybody's back for a fresh cut,Barbershop: The Next Cut,6.2,2016,2.75150255,viernes
,0.0,"[{'id': 99, 'name': 'Documentary'}]",360030,en,Werner Herzog's exploration of the Internet and the connected world.,4.167907,['Saville Productions'],['United States of America'],2016-03-04,0.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The human side of the digital revolution.,Lo and Behold: Reveries of the Connected World,6.5,2016,0.0,viernes
,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",194720,en,"Carrie, Mitzie, and Chicago get in trouble a lot in the women's prison, but are offered early parolement if they agree to become subjects of a study on human aggression and antisocial behavior at a Kansas City college. Dr. Blalock, the professor in charge of the study, is accepting money under the table from a shady government contact to use an experimental drug on the women. The drug induces the same hostile behavior the doctor is supposedly trying to cure, and after a while the women have a hard time conducting themselves in a civil manner.",0.33955,['Brandywine Productions'],['United States of America'],1976-05-18,0.0,76.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A secret campus experiment ... from inmates to classmates ... to playmates ...,The Student Body,6.0,1976,0.0,martes
,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",31502,ja,"Despite his happy marriage to Kamiya Kaoru and the birth of their first child, Kenji, Himura Kenshin continues his tireless search for atonement even as illness threatens to claim his life and rob him of him of his memories.",1.434366,['SPVision'],['Japan'],2001-12-12,0.0,90.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,The story of Kenshin's final journey,Samurai X : Reflection,6.4,2001,0.0,miércoles
,0.0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",43495,en,"One dark summer night, Francesca Cunningham, a once world famed pianist, escapes from her hospital room and tries to commit suicide by jumping off a local bridge. She is rescued and taken back to the hospital and undergoes psychological treatment by Dr. Larsen. Larsen, desperately wants to know the events and persons who drove her to this state and help her. He makes Francesca talk about her past - a past with a controlling guardian, Nicholas, no friends, kept apart from the man she loved and forced to practice the piano 5-6 hours a day.",0.742283,"['Sydney Box Productions', 'Ortus Films']",['United Kingdom'],1945-10-18,0.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It Dares Strip Down a Woman's Mind,The Seventh Veil,5.2,1945,0.0,jueves
,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",94340,en,Based on the change a rapidly growing town faces when southern developers take over.,0.195473,"['Australian Film Finance Corporation', 'Freshwater Pictures', 'Cane Toad Productions']",['Australia'],2009-08-20,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Love plus loyalty, multiplied by pride, divided by money equals...",Subdivision,6.3,2009,0.0,jueves
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",244447,en,The surgeon who did the job was dead. Only the nurse knew what this gangster looked like in his new face. He learned about women from her!,0.014357,['RKO Radio Pictures'],['United States of America'],1935-12-20,0.0,69.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Wanted For Murder, he changed his face... then hid in the glare of a spotlight!",Another Face,0.0,1935,0.0,viernes
['The Foreigner Collection'],16000000.0,"[{'id': 28, 'name': 'Action'}]",18070,en,"Jonathan Cold returns, this time he goes Undercover to stop a group of Terrorists before they bomb Los Angeles.",9.989719,"['Andrew Stevens Entertainment', 'Steamroller Productions', 'Sony Pictures Home Entertainment']",['United States of America'],2005-01-01,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's always darkest before dawn.,Black Dawn,3.6,2005,0.0,sábado
,0.0,"[{'id': 35, 'name': 'Comedy'}]",19794,en,"A young woman pretends to be pregnant in order to avoid being fired from her job. When that gets her a bunch of special treatment by everyone involved in her life, she tries to keep up the lie for nine months.",9.892713,"['Grand Army Entertainment', 'Plum Pictures', 'Millennium Films', 'Overnight Films', 'Nu Image / Millennium Films', 'Latitude Films']",['United States of America'],2009-07-19,0.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some stories just keep on growing,Labor Pains,5.2,2009,0.0,domingo
